id,status2021EN,status2021HE,surnameHE,givenNameHE,surnameEN,givenNameEN,genderEN,genderHE,nationalityEN,nationalityHE,religionEN,religionHE,religiousityEN,religiousityHE,ethnicityEN,ethnicityHE,birthCountryEN,birthCountryHE,birthYear,majorChildhoodCityHE,majorChildhoodCityEN,citySocio,highschoolHE,educationTypeEN,educationTypeHE,armyServiceEN,armyServiceHE,mainLegalEducationEN,mainLegalEducationHE,mainLegalEducationTypeInstEN,mainLegalEducationTypeInstHE,YearFisrtDegreeGraduation,typeAdvancedLegalEducationEN,typeAdvancedLegalEducationHE,universityAdvancedLegalEducationEN,universityAdvancedLegalEducationHE,yearAdvancedLegalEducation,otherAdvancedEducationHE,placeOfInternshipEN,placeOfInternshipHE,yearOfBecomingLawyer,lastPositionBeforeJudgeshipEN,lastPositionBeforeJudgeshipEN,position1EN,position1HE,court1NameEN,court1NameHE,position1Year,position2EN,position2HE,court2NameEN,court2NameHE,position2Year,position3EN,position3HE,court3NameEN,court3NameHE,position3Year,position4EN,position4HE,court4NameEN,court4NameHE,position4Year,position5EN,position5HE,court5NameEN,court5NameHE,position5Year,position6EN,position6HE,court6NameEN,court6NameHE,position6Year,position7EN,position7HE,court7NameEN,court7NameHE,position7Year,position8EN,position8HE,court8NameEN,court8NameHE,position8Year,everInSupremeCourt,everInSupremeStartYear1,everInSupremeEndYear1,everInSupremeStartYear2,everInSupremeEndYear2,everInDistrict,everInDistrictStartYear1,everInDistrictEndYear1,everInDistrictStartYear2,everInDistrictEndYear2,everInMagistrate,everInMagistrateStartYear1,everInMagistrateEndYear1,everInMagistrateStartYear2,everInMagistrateEndYear2,everInLaborRegional,everInLaborRegionalStartYear1,everInLaborRegionalEndYear1,everInLaborRegionalStartYear2,everInLaborRegionalEndYear2,everInLaborNational,everInLaborNationalStartYear,everInLaborNationalEndYear,endOfCareerEN,endOfCareerHE,endOfCareerYear,comments,ageOfEnteringJudgeship,xpInFirstNom,ageOfRetirement,JudgeshipxpInRet
1,Active,פעיל\ה,אבינור ,שאול,Abinor,Shaul,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1962,חיפה,Haifa,7,הריאלי חיפה,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1991,PhD,PhD,North America,צפון אמריקה,2003,לא ידוע,Public Prosecutor ,פרקליטות המדינה,1991,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Tel Aviv District,שלום- מחוז תל אביב,2007,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2007,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,45,16,FALSE,null
2,Inactive,אינו פעיל\ אינה פעילה,"אבינל ז""ל",יצחק,Abinal,Isaac,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,לא ידוע,unknown,לא ידוע,Unknown,null,unknown,Unknown,לא ידוע,Unkown,Unkown,Unknown,לא ידוע,Unknown,לא ידוע,1924,Masters,Masters,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,Unknown,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Unknown,שלום- לא ידוע,1948,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1948,1960,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1960,,Unknown,Unknown,Unknown,12
3,Inactive,אינו פעיל\ אינה פעילה,עזרא,מיכל,Ezra,Michal,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,לא ידוע,unknown,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unkown,Unkown,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,Unknown,Unknown,לא ידוע,unknown,לא ידוע,Unknown,לא ידוע,Unknown,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,Unknown,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,Unknown,פרישה לגמלאות,1996,אין כל מידע באתר הרשות או ברשומות,Unknown,Unknown,Unknown,Unknown
4,Inactive,אינו פעיל\ אינה פעילה,שקד,מיכל,Shaked,Michal,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,לא ידוע,unknown,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unkown,Unkown,Unknown,לא ידוע,Unknown,לא ידוע,Unknown,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,Unknown,Unknown,לא ידוע,Judge,שיפוט,Magistrate - Unknown,שלום- לא ידוע,1983,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1983,1985,,,FALSE,,,,,FALSE,,,Resigned,התפטרות,1985,התפטרה,Unknown,Unknown,Unknown,2
5,Inactive,אינו פעיל\ אינה פעילה,"אבן-ארי ז""ל",אריה,Even-Ari,Arye,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,West-North Europe,מערב וצפון אירופה,1931,תל אביב -יפו,Tel Aviv Jaffa,8,"בית ספר גב""ע - ת""א",Unknown,לא ידוע,Unkown,Unkown,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1956,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1961,Law Firm,"משרד עו""ד",Registrar,רשמות,Magistrate - Tel Aviv District,שלום- מחוז תל אביב,1969,Judge,שיפוט,Magistrate - Tel Aviv District,שלום- מחוז תל אביב,1972,Registrar,רשמות,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1977,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,unknown,Vice President,"סגנות נשיאות בימ""ש",District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1999,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1977,2001,,,TRUE,1969,1976,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2001,נפטר 2006,38,8,70,32
6,Active,פעיל\ה,אבנון,גיא,Avnon,Guy,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1972,כפר סבא,Kfar Saba,8,תיכון כצנלסון,state-secular,ממלכתי,Army Service,שירות צבאי,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1998,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1999,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Center District,שלום- מחוז מרכז,2016,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2016,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,44,17,FALSE,null
7,Inactive,אינו פעיל\ אינה פעילה,אבני ,אסף,Avni,Asaf,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1973,פתח תקווה,Petah Tikva,7,אחד העם,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,2001,Masters,Masters,Bar Ilan University (BIU),אוניברסיטת בר אילן,2011,לא ידוע,District Court,"בימ""ש מחוזי",2002,Justice Department - other,משרד המשפטים\אחר,Registrar,רשמות,Magistrate - Jerusalem District,מחוזי- ירושלים,2011,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2011,2011,,,FALSE,,,,,FALSE,,,Apoointed other Public Position,מינוי למשרה ציבורית אחרת,2011,,38,9,38,0
8,Active,פעיל\ה,אברבנל,אלי,Abarbanel,Eli,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1960,ירושלים,Jerusalem,7,גמנסיה רחביה,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1985,Masters,Masters,Hebrew University of Jerusalem (HUJI),האוניברסיטה העברית בירושלים,2005,לא ידוע,Magistrate Court,"בימ""ש שלום",1986,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,District - Jerusalem,מחוזי- ירושלים,2016,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2016,9999,,,FALSE,,,,,FALSE,,,,,FALSE,,,null,null,9999,,56,30,FALSE,null
9,Active,פעיל\ה,אברהם ,אברהם,Avraham,Avraham,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Mizrahi,מזרחי\ת,Middle East (Asia),מזרח תיכון,1959,חיפה,Haifa,7,תיכון עירוני ג בחיפה,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1987,PhD,PhD,University of Haifa,אוניברסיטת חיפה,2013,לא ידוע,Law Firm,"משרד עו""ד",1988,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Tiberias,שלום- טבריה,1997,Acting Judge,שיפוט בפועל,District - Nazareth,מחוזי- נצרת,2000,Registrar,רשמות,District - Nazareth,מחוזי- נצרת,2001,Judge,שיפוט,District - Nazareth,מחוזי- נצרת,2001,Vice President,"סגנות נשיאות בימ""ש",District - Nazareth,מחוזי- נצרת,2010,President,"נשיאות בימ""ש",District - Nazareth,מחוזי- נצרת,2015,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2000,9999,,,TRUE,1997,1999,,,FALSE,,,,,FALSE,,,null,null,9999,position 6: נשיא בפועל לתקופה של שנה,38,9,FALSE,null
10,Active,פעיל\ה,אברהם ,יונתן,Avraham,Yonatan,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1961,עפולה,Afula,5,אורט עפולה,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1992,Masters,Masters,University of Haifa,אוניברסיטת חיפה,2006,לא ידוע,District Court,"בימ""ש מחוזי",1993,Unkown,לא ידוע,Registrar,רשמות,Magistrate - Southern District,שלום- מחוז דרום,2000,Judge,שיפוט,Magistrate - Southern District,שלום- מחוז דרום,2002,Judge,שיפוט,District - Nazareth,מחוזי- נצרת,2008,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2008,9999,,,TRUE,2000,2007,,,FALSE,,,,,FALSE,,,null,null,9999,-99,39,7,FALSE,null
11,Active,פעיל\ה,אברהמי,אייל שלום,Avrahami,Eyal Shalom,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - Orthodox Background,דתי אורותודכסי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1965,פרדס חנה-כרכור,Pardes Hana,7,מדרשת נועם,religious (state and independent),דתי (ממלכתי\עצמאי),Army Service,Army Service,Bar Ilan University ,אוניברסיטת בר אילן,University,אוניברסיטה,1986,Masters,Masters,Hebrew University of Jerusalem (HUJI),האוניברסיטה העברית בירושלים,1993,לא ידוע,Law Firm,"משרד עו""ד",1989,Public - other,ציבורי אחר,Judge,שיפוט,Labor - Beer Sheva,עבודה- באר שבע,1997,Judge,שיפוט,Labor - Jerusalem,עבודה- ירושלים,2000,Vice President,"סגנות נשיאות בימ""ש",Labor - Jerusalem,עבודה- ירושלים,2010,President,"נשיאות בימ""ש",Labor - Jerusalem,עבודה- ירושלים,2015,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,FALSE,,,,,TRUE,1997,9999,,,FALSE,,,null,null,9999,-99,32,8,FALSE,null
12,Inactive,אינו פעיל\ אינה פעילה,"אברמוביץ ז""ל",יהודה,Avramovitch,Yehuda,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1935,תל אביב -יפו,Tel Aviv Jaffa,8,גימנסיה הרצליה,state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1960,Masters,Masters,North America,צפון אמריקה,1962,לא ידוע,Law Firm,"משרד עו""ד",1964,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Safed,שלום- צפת,1975,Judge,שיפוט,District - Nazareth,מחוזי- נצרת,1979,Vice President,"סגנות נשיאות בימ""ש",District - Nazareth,מחוזי- נצרת,1989,President,"נשיאות בימ""ש",District - Nazareth,מחוזי- נצרת,1991,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1979,2005,,,TRUE,1975,1978,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2005,נפטר 2012,40,11,70,30
13,Inactive,אינו פעיל\ אינה פעילה,"אגרנט ז""ל",שמעון,Agranat,Simon,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,North America,צפון אמריקה,1906,חוץ לארץ,abroad,null,null,Unknown,לא ידוע,Unkown,Unkown,North America,צפון אמריקה,Abroad,"חו""ל",1929,PhD,PhD,North America,צפון אמריקה,1929,לא ידוע,Law Firm,"משרד עו""ד",1932,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Haifa,שלום- חיפה,1940,President,"נשיאות בימ""ש",District - Haifa,מחוזי- חיפה,1948,Judge,שיפוט,Supreme Court,עליון,1950,President,"נשיאות בימ""ש",Supreme Court,עליון,1965,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,1950,1976,,,TRUE,1948,1949,,,TRUE,1940,1947,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1976,נפטר 1992,34,8,70,36
